"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Joel Embiid",10100,"PHI@MIN 12/12/2017 09:30PM ET",46.774,"PHI"
"PG/SF","Ben Simmons",9800,"PHI@MIN 12/12/2017 09:30PM ET",46.09,"PHI"
"C","Karl-Anthony Towns",8700,"PHI@MIN 12/12/2017 09:30PM ET",41.75,"MIN"
"SG","Jimmy Butler",8000,"PHI@MIN 12/12/2017 09:30PM ET",37.15,"MIN"
"SG/SF","Devin Booker",7800,"PHO@SAC 12/12/2017 10:00PM ET",38.3,"PHO"
"PF/C","Zach Randolph",7100,"PHO@SAC 12/12/2017 10:00PM ET",29.031,"SAC"
"SF/PF","T.J. Warren",6900,"PHO@SAC 12/12/2017 10:00PM ET",30.536,"PHO"
"PG","Jeff Teague",6500,"PHI@MIN 12/12/2017 09:30PM ET",31.696,"MIN"
"SF/PF","Robert Covington",6200,"PHI@MIN 12/12/2017 09:30PM ET",31.49,"PHI"
"PF/C","Taj Gibson",6000,"PHI@MIN 12/12/2017 09:30PM ET",26.694,"MIN"
"SF/PF","Andrew Wiggins",6000,"PHI@MIN 12/12/2017 09:30PM ET",29.269,"MIN"
"PF/C","Dario Saric",5700,"PHI@MIN 12/12/2017 09:30PM ET",25.19,"PHI"
"SG/SF","Buddy Hield",5600,"PHO@SAC 12/12/2017 10:00PM ET",22.625,"SAC"
"SG/SF","J.J. Redick",5400,"PHI@MIN 12/12/2017 09:30PM ET",27.24,"PHI"
"PF/C","Willie Cauley-Stein",5300,"PHO@SAC 12/12/2017 10:00PM ET",23.946,"SAC"
"PF/C","Greg Monroe",5000,"PHO@SAC 12/12/2017 10:00PM ET",22.219,"PHO"
"PG","De'Aaron Fox",4700,"PHO@SAC 12/12/2017 10:00PM ET",21.192,"SAC"
"C","Tyson Chandler",4500,"PHO@SAC 12/12/2017 10:00PM ET",22.763,"PHO"
"PF/C","Alex Len",4500,"PHO@SAC 12/12/2017 10:00PM ET",23.489,"PHO"
"PG","Mike James",4300,"PHO@SAC 12/12/2017 10:00PM ET",21.973,"PHO"
"SG/SF","Josh Jackson",4300,"PHO@SAC 12/12/2017 10:00PM ET",17.42,"PHO"
"PF/C","Trevor Booker",4300,"PHI@MIN 12/12/2017 09:30PM ET",22.975,"PHI"
